v,E
39.651821,-11.6743276227989
40.001688,-11.9405476050061
40.353607,-12.1595640975458
40.707584,-12.3842526979336
41.063625,-12.5895372366665
41.421736,-12.7764125325894
41.781923,-12.9458260014581
42.144192,-13.0986799313477
42.508549,-13.2358336452587
42.875,-13.3581055567528
43.243551,-13.4662751241234
43.614208,-13.5610847083218
43.986977,-13.6432413395693
44.361864,-13.7070496808943
44.738875,-13.7659953596674
45.118016,-13.8142114984977
45.499293,-13.852279849293
45.882712,-13.8807544504762
46.268279,-13.9001629355792
46.656,-13.9110077784364
47.045881,-13.9137674781707
47.437928,-13.9088976869966
47.832147,-13.8968322836988
48.228544,-13.8779843955076
48.627125,-13.8527473709409
49.027896,-13.7961834075309
49.430863,-13.759684579032
49.836032,-13.7178592687278
50.243409,-13.6710307078911
50.653,-13.6195065548619
51.064811,-13.5635796208348
51.478848,-13.5035285612586
51.895117,-13.4396185345301
52.313624,-13.3721018295858
52.734375,-13.3012184639042
53.157376,-13.2271967533648
53.582633,-13.1502538553272
54.010152,-13.0705962862321
54.439939,-12.9884204149546
54.872,-12.9039129330838
